day,n_rides,airport
1,7289,JFK
2,8431,JFK
3,7620,JFK
4,6873,JFK
5,5845,JFK
6,5778,JFK
7,4922,JFK
8,8016,JFK
9,7567,JFK
10,5627,JFK
11,5614,JFK
12,6383,JFK
13,7389,JFK
14,6370,JFK
15,6456,JFK
16,7687,JFK
17,6678,JFK
18,6299,JFK
19,6370,JFK
20,6436,JFK
21,5368,JFK
22,7081,JFK
23,6363,JFK
24,5289,JFK
25,5556,JFK
26,6286,JFK
27,6260,JFK
28,4947,JFK
29,6480,JFK
30,6413,JFK
31,5922,JFK
1,825,EWR
2,711,EWR
3,523,EWR
4,445,EWR
5,436,EWR
6,471,EWR
7,415,EWR
8,579,EWR
9,547,EWR
10,455,EWR
11,550,EWR
12,575,EWR
13,790,EWR
14,547,EWR
15,467,EWR
16,512,EWR
17,614,EWR
18,692,EWR
19,661,EWR
20,640,EWR
21,403,EWR
22,526,EWR
23,486,EWR
24,389,EWR
25,529,EWR
26,660,EWR
27,627,EWR
28,426,EWR
29,605,EWR
30,434,EWR
31,370,EWR